microRNA ID	P-value (CE CL1-5 vs. CE CL1-0)	FDR step up (CE CL1-5 vs. CE CL1-0)	Ratio (CE CL1-5 vs. CE CL1-0)	Log2(Ratio) (CE CL1-5 vs. CE CL1-0)	Fold change (CE CL1-5 vs. CE CL1-0)	LSMean(CE CL1-5) (CE CL1-5 vs. CE CL1-0)	LSMean(CE CL1-0) (CE CL1-5 vs. CE CL1-0)
hsa-miR-34c-5p	0.035842584071120336E0	0.1392346535070444E0	13337.913982765784E0	13.70324542972675E0	13337.913982765784E0	133.37914004185853E0	0.010000000000019327E0
hsa-miR-487a-3p	0.038193418405630265E0	0.1457914967903194E0	1420.4282209281214E0	10.472110213741463E0	1420.4282209281214E0	14.20428222669005E0	0.00999999999999801E0
hsa-miR-5009-5p	0.0386261491240541E0	0.1457914967903194E0	0.4152705073378476E0	-1.2678766802118537E0	-2.4080689149119845E0	3.0352277217592682E0	7.309037527532352E0
hsa-miR-450a-1-3p	0.03866850709420328E0	0.1457914967903194E0	1.9311819232474987E0	0.9494840769785394E0	1.9311819232474987E0	23.279965391967853E0	12.054775942720417E0
hsa-miR-335-3p	0.03869425874221398E0	0.1457914967903194E0	3.366012246278894E0	1.751040425513284E0	3.366012246278894E0	76.21483948258273E0	22.642472424518445E0
hsa-miR-138-1-3p	0.03873338446079443E0	0.1457914967903194E0	2.848089407888407E0	1.5099944364351339E0	2.848089407888407E0	13.544768209379171E0	4.755738415188063E0
hsa-miR-3131	0.03927448681507991E0	0.14691567290085447E0	0.5600650521311695E0	-0.8363336874735187E0	-1.7855068731655048E0	1.7161996871374183E0	3.0642863374083316E0
hsa-miR-5697	0.04038629848685656E0	0.15002736092589958E0	0.07830380289736646E0	-3.674773814724017E0	-12.770771827144966E0	0.35889522327549783E0	4.583369008275153E0
hsa-miR-27b-5p	0.040601464012949715E0	0.15002736092589958E0	3.3394766026455276E0	1.73962200631059E0	3.3394766026455276E0	27.232642135718578E0	8.154763566422218E0
hsa-miR-346	0.041789522093190014E0	0.15348151750589786E0	0.08626239798417329E0	-3.53512436807063E0	-11.592536532354128E0	0.35889522327549783E0	4.16050598883022E0
hsa-miR-1185-2-3p	0.04427112132629366E0	0.16161626219116842E0	1804.2129659866507E0	10.817153926381096E0	1804.2129659866507E0	18.04212968272054E0	0.010000000000005116E0
hsa-miR-582-5p	0.04495900903656773E0	0.16314466752191642E0	0.47920406960070594E0	-1.0612879347409925E0	-2.0867936301819063E0	32.857649497481425E0	68.56713368261191E0
hsa-miR-30b-5p	0.04538702194541535E0	0.1637174720173911E0	2.4013329967925348E0	1.2638354783329542E0	2.4013329967925348E0	2999.514609234756E0	1249.103982162188E0
hsa-miR-10a-5p	0.045712359031762115E0	0.16391532291862626E0	6.83152195690175E0	2.7722070243528956E0	6.83152195690175E0	1686.8214048778964E0	246.91736555517673E0
hsa-miR-191-5p	0.04690760708603288E0	0.16696460520886935E0	0.639678807732894E0	-0.6445804066608001E0	-1.5632845545471983E0	13336.442174384938E0	20848.65406540087E0
hsa-miR-135b-5p	0.04725802253373562E0	0.16696460520886935E0	16.674770301334735E0	4.059594982989413E0	16.674770301334735E0	42.4736100322351E0	2.547178116669599E0
hsa-miR-3611	0.047389293887665884E0	0.16696460520886935E0	0.4402117714879483E0	-1.183730370738714E0	-2.271633937956557E0	6.71996946082945E0	15.265310691366972E0
hsa-miR-4467	0.048107548580795544E0	0.1676121632604128E0	1.6538647291562667E0	0.7258412402189015E0	1.6538647291562667E0	3.384122945034765E0	2.046190891605555E0
hsa-miR-181b-3p	0.04812626469853437E0	0.1676121632604128E0	4.039296295768683E-4	-11.27360840316486E0	-2475.678748913612E0	0.009999999999974704E0	24.7567875217431E0
hsa-miR-3940-3p	0.048572394195146536E0	0.168199262184336E0	0.5281555943796441E0	-0.9209650854333545E0	-1.8933814403207645E0	2.065094910412917E0	3.910012376298198E0
hsa-miR-2355-3p	0.049522044036842586E0	0.17051340162685572E0	2.73317038695798E0	1.4505754008625846E0	2.73317038695798E0	16.72310164809869E0	6.118572674816662E0
hsa-miR-941	0.05131283618316128E0	0.17568123574573863E0	2.734112817850121E0	1.4510727741783633E0	2.734112817850121E0	39.682448246031186E0	14.513829853770972E0
hsa-miR-543	0.052069010279071536E0	0.17726865297256938E0	1222.5740160074365E0	10.255706094865724E0	1222.5740160074365E0	12.225740174757288E0	0.010000000000005116E0
hsa-miR-19b-3p	0.05393913310937627E0	0.18260957913006715E0	0.4723776624067614E0	-1.0819873500865245E0	-2.116950227716116E0	15970.352908136718E0	33808.44222986863E0
hsa-miR-580-3p	0.05479803588184738E0	0.18390864652101108E0	0.5776253349666496E0	-0.7917940738721654E0	-1.7312260031976214E0	17.693234459445037E0	30.630987579702428E0
hsa-miR-1250-5p	0.05492981026452641E0	0.18390864652101108E0	2.5852147608235003E-4	-11.917428245428855E0	-3868.150589088613E0	0.00999999999999602E0	38.681505944830846E0
hsa-miR-296-5p	0.05665666772863931E0	0.18864802551404078E0	3.399157520210095E0	1.7651772192965567E0	3.399157520210095E0	84.79292906773958E0	24.945277924330696E0
hsa-miR-431-3p	0.0584533994633794E0	0.19320426147085887E0	1719.1233497597714E0	10.747457348792926E0	1719.1233497597714E0	17.191233519209234E0	0.009999999999990905E0
hsa-miR-1294	0.0586626800505578E0	0.19320426147085887E0	0.5730555622588867E0	-0.8032530684545927E0	-1.7450314871007824E0	4.4308086148612595E0	7.731900546977286E0
hsa-miR-153-3p	0.05898965228248492E0	0.19323096909830195E0	0.4931857489117967E0	-1.0197969826391604E0	-2.027633609053947E0	11.762015663761565E0	23.849058272908813E0
hsa-miR-382-3p	0.05995521980137337E0	0.1953379741915713E0	1389.3663415675924E0	10.440211337169291E0	1389.3663415675924E0	13.893663432654645E0	0.009999999999999787E0
hsa-miR-744-3p	0.061406596240830696E0	0.19855592760099167E0	0.6087052710553912E0	-0.7161842360659706E0	-1.6428311821025805E0	15.289244325756632E0	25.11764733124361E0
hsa-miR-136-3p	0.06159820856268388E0	0.19855592760099167E0	68842.99070764467E0	16.07102215248489E0	68842.99070764467E0	688.4299083708806E0	0.009999999999990905E0
hsa-miR-34a-3p	0.062417753082474395E0	0.2001331130580925E0	842.6169138376812E0	9.718733065163187E0	842.6169138376812E0	8.426169147966878E0	0.010000000000005116E0
hsa-miR-624-3p	0.06480292005242147E0	0.20581289421970275E0	0.39604450586083173E0	-1.3362655313076301E0	-2.5249687477078537E0	3.694741739070192E0	9.329107423463217E0
hsa-miR-551b-3p	0.06486842045538486E0	0.20581289421970275E0	1.9645184743648496E0	0.9741757349888774E0	1.9645184743648496E0	11.527949728206288E0	5.868079062284641E0
hsa-miR-544a	0.06530556299948692E0	0.2061206832171306E0	551.5770708048774E0	9.107418674683808E0	551.5770708048774E0	5.515770713927822E0	0.00999999999999801E0
hsa-miR-873-5p	0.0664840709657948E0	0.2087530932915629E0	439.2532181108259E0	8.778909045696532E0	439.2532181108259E0	4.392532185621182E0	0.00999999999999801E0
hsa-miR-1197	0.06706687670684267E0	0.2094975633213745E0	15232.108905807467E0	13.894828078257174E0	15232.108905807467E0	152.32108930611113E0	0.010000000000019327E0
hsa-miR-128-3p	0.06839261543042897E0	0.2116488975068203E0	0.4214702791533319E0	-1.2464971947517558E0	-2.3726465410772124E0	1960.4552393967322E0	4651.467343370039E0
hsa-miR-26b-5p	0.06845409886359205E0	0.2116488975068203E0	0.6098796387356076E0	-0.7134035435769596E0	-1.6396677909647608E0	961.474746634246E0	1576.4991740138257E0
hsa-miR-376b-3p	0.06880844487232703E0	0.2116645563077674E0	1825.2130028262188E0	10.833849121361316E0	1825.2130028262188E0	790.067212535128E0	0.4328630194447669E0
hsa-miR-329-3p	0.0731946610759649E0	0.22402002329310466E0	7718.497217732277E0	12.914104268480507E0	7718.497217732277E0	77.18497229392908E0	0.009999999999990905E0
hsa-miR-628-3p	0.07682269596004346E0	0.23292678469087083E0	0.2660676022455646E0	-1.9101352437726267E0	-3.7584433112493696E0	7.570865624340726E0	28.454669272533344E0
hsa-miR-409-3p	0.07726515752013953E0	0.23292678469087083E0	881.1763805655842E0	9.78328701470732E0	881.1763805655842E0	1126.6624799442186E0	1.2785890583345463E0
hsa-miR-329-5p	0.07741739401225357E0	0.23292678469087083E0	512.859905600527E0	9.002420978379302E0	512.859905600527E0	5.128599061412256E0	0.010000000000005116E0
hsa-miR-1185-1-3p	0.07764226156362361E0	0.23292678469087083E0	329.81667513302966E0	8.365520531314107E0	329.81667513302966E0	142.76544200117175E0	0.43286301944493744E0
hsa-miR-188-3p	0.07901216610867517E0	0.23586883084658697E0	0.495041695297305E0	-1.0143780523914063E0	-2.0200318670115944E0	13.659597497099346E0	27.59282223796879E0
hsa-miR-5699-3p	0.08249282818943746E0	0.24358370864619208E0	0.17770762661924602E0	-2.4924224965277606E0	-5.627220502711381E0	1.0566856698264944E0	5.946203267903753E0
hsa-miR-3942-5p	0.08249282818943746E0	0.24358370864619208E0	0.17770762661924602E0	-2.4924224965277606E0	-5.627220502711381E0	1.0566856698264944E0	5.946203267903753E0
hsa-miR-1284	0.0828023828071214E0	0.24358370864619208E0	0.6863151675320287E0	-0.5430568563628787E0	-1.457056535113414E0	4.779703838136758E0	6.96429871370653E0
hsa-miR-1277-5p	0.08371743236396492E0	0.24508581648581035E0	0.5164913972363359E0	-0.953183775357215E0	-1.9361406702044652E0	11.953397809961926E0	23.143459649582482E0
hsa-miR-6720-5p	0.0848148917524088E0	0.24710492500942183E0	6.311531002999295E0	2.657990005607138E0	6.311531002999295E0	5.400941426207581E0	0.8557260388898698E0
hsa-miR-4746-5p	0.08602369280588652E0	0.2494275494754413E0	0.42741831891151666E0	-1.2262793524571773E0	-2.3396283120167767E0	3.733018168310265E0	8.733874997105373E0
hsa-miR-6505-5p	0.09145747840321279E0	0.2639201519635569E0	0.6181574124807785E0	-0.6939538307255134E0	-1.6177109257443303E0	4.043636962345689E0	6.541435694261597E0
hsa-miR-381-3p	0.09388488965397618E0	0.2696409627028889E0	489.012856860591E0	8.933728586005772E0	489.012856860591E0	2325.6172313250604E0	4.755738415188716E0
hsa-miR-323b-3p	0.09648110352610242E0	0.2757903242302739E0	269.9672666128932E0	8.07664068165048E0	269.9672666128932E0	163.39294396378102E0	0.6052324263578157E0
hsa-miR-410-5p	0.0975538171265524E0	0.27754747971216315E0	613.7008295351214E0	9.261391723332268E0	613.7008295351214E0	6.137008301998662E0	0.009999999999990905E0
hsa-miR-579-3p	0.09983678937122303E0	0.2827153942007531E0	0.627406071498551E0	-0.6725286044714386E0	-1.5938640785090163E0	19.905842446933093E0	31.727207231124318E0
hsa-miR-1296-5p	0.10575618619520318E0	0.2980848782990378E0	0.49810329854252844E0	-1.0054831300218308E0	-2.0076156952303723E0	53.915006901961306E0	108.24061407757085E0
hsa-miR-655-3p	0.10668172009376477E0	0.29809893297134155E0	131.6317367075387E0	7.0403635578033175E0	131.6317367075387E0	56.978511052960535E0	0.4328630194449232E0
hsa-miR-488-3p	0.10703521184272086E0	0.29809893297134155E0	0.476365923847967E0	-1.0698578791115678E0	-2.099226560796468E0	2.026818481172845E0	4.25475119012402E0
hsa-miR-6720-3p	0.10731660063036091E0	0.29809893297134155E0	404.36369582505944E0	8.65950966623361E0	404.36369582505944E0	4.043636962345673E0	0.009999999999990905E0
hsa-miR-4516	0.10772882231142542E0	0.29809893297134155E0	8.272423489735589E0	3.0483100433538324E0	8.272423489735589E0	40.12111840813395E0	4.84998361648195E0
hsa-miR-182-3p	0.10890179337350461E0	0.2999749399288354E0	0.6778968835209948E0	-0.560862256550618E0	-1.4751506081662487E0	14.553177449965558E0	21.468128567477436E0
hsa-miR-376a-3p	0.11059451846197978E0	0.3032591773210848E0	916.021521784759E0	9.839237684393222E0	916.021521784759E0	1487.0032695248235E0	1.623327872160644E0
hsa-miR-3621	0.11208681721360174E0	0.30550643826483154E0	9.970773966781952E0	3.317705496067791E0	9.970773966781952E0	4.315979327140894E0	0.4328630194449943E0
hsa-miR-654-3p	0.1129212406332071E0	0.30550643826483154E0	962.4422758028287E0	9.910556204848499E0	962.4422758028287E0	2376.3218679877277E0	2.469053911050196E0
hsa-miR-376c-3p	0.11292647222990473E0	0.30550643826483154E0	899.6929147812593E0	9.81328885130408E0	899.6929147812593E0	924.9701893701766E0	1.028095445802819E0
hsa-miR-548n	0.11362739171705609E0	0.30594872310102617E0	1.4816343785799462E0	0.567189479163935E0	1.4816343785799462E0	28.164498517824835E0	19.009074656426947E0
hsa-miR-29b-1-5p	0.114099688813254E0	0.30594872310102617E0	2.137714651946753E0	1.096069290993126E0	2.137714651946753E0	391.46277768193886E0	183.12209128342784E0
hsa-miR-23b-5p	0.11547505187873044E0	0.30827260545599405E0	2.866014063774734E0	1.5190456890446795E0	2.866014063774734E0	18.701643700031468E0	6.525314698586925E0
hsa-miR-99b-3p	0.11627610210064804E0	0.30904963979382766E0	1.875279623832856E0	0.9071057325893237E0	1.875279623832856E0	299.4722855732483E0	159.6947365797978E0
hsa-miR-409-5p	0.11780072927982112E0	0.3117346809762952E0	194.484484757453E0	7.603511256778977E0	194.484484757453E0	117.7083167034715E0	0.6052324263578441E0
hsa-miR-379-5p	0.12161830381127106E0	0.31993821875657463E0	784.9768715235275E0	9.616506336989344E0	784.9768715235275E0	2466.7195998852076E0	3.142410543027836E0
hsa-miR-486-5p	0.12210060174380863E0	0.31993821875657463E0	509.0322626811992E0	8.991613287598511E0	509.0322626811992E0	5.090322632172189E0	0.010000000000005116E0
hsa-miR-20a-5p	0.12248459859987676E0	0.31993821875657463E0	1.6163358046840788E0	0.692726958871659E0	1.6163358046840788E0	20232.090079871894E0	12517.256636646622E0
hsa-miR-148a-5p	0.12303005302549286E0	0.31998374306201144E0	3.161771609939213E0	1.660733158617097E0	3.161771609939213E0	23.356518250448033E0	7.3871617331514585E0
hsa-miR-3140-3p	0.12391434155797708E0	0.32079957367884054E0	1.9048393225013855E0	0.9296693082661305E0	1.9048393225013855E0	4.703150979656613E0	2.469053911050488E0
hsa-miR-193a-5p	0.12440247494146457E0	0.32079957367884054E0	2.3911315486985623E0	1.2576935024604277E0	2.3911315486985623E0	117.28727598183059E0	49.05095080544629E0
hsa-miR-125b-1-3p	0.12507375943573193E0	0.3211639755002269E0	2.6788488954733256E0	1.4216132060778583E0	2.6788488954733256E0	391.0373296001835E0	145.97214878221803E0
hsa-miR-449c-5p	0.12783242147149304E0	0.32686264730685566E0	0.21039653429029548E0	-2.248817154531786E0	-4.75293000131003E0	1.0566856698264935E0	5.022353023394776E0
hsa-miR-539-3p	0.1296031358023247E0	0.3299979004042385E0	604.3410250856134E0	9.239219071045483E0	604.3410250856134E0	365.76678535570795E0	0.6052324263578157E0
hsa-miR-4766-3p	0.13258449495803415E0	0.3361765855421284E0	0.5791279819126538E0	-0.7880458892160851E0	-1.7267340401984301E0	7.570865624340742E0	13.072871388523193E0
hsa-miR-324-5p	0.13503987755932048E0	0.34097569083728424E0	0.5219124648315003E0	-0.9381202366425807E0	-1.9160301149788603E0	75.67015475299206E0	144.9862953277646E0
hsa-miR-1292-5p	0.13796294016324182E0	0.346910961572301E0	2.8168239340384447E0	1.4940693906819993E0	2.8168239340384447E0	8.851617229722507E0	3.1424105430274523E0
hsa-miR-382-5p	0.14404659876583822E0	0.36071173079379326E0	764.9635633158789E0	9.579247220880141E0	764.9635633158789E0	1109.9303590438672E0	1.4509584652478225E0
hsa-miR-450a-2-3p	0.1457315809163457E0	0.3634293746308868E0	1.8653239972550395E0	0.8994262410090498E0	1.8653239972550395E0	11.413120440486068E0	6.118572674816663E0
hsa-miR-29a-3p	0.14789067339648992E0	0.3673022462224299E0	1.563535025795682E0	0.6448115384031733E0	1.563535025795682E0	109645.58337245074E0	70126.72025583588E0
hsa-miR-15b-5p	0.1504086944068477E0	0.3720313012675498E0	1.5510428702265509E0	0.633238562459434E0	1.5510428702265509E0	8238.669221801798E0	5311.696652193599E0
hsa-miR-5000-3p	0.15507061243620462E0	0.38200321600138215E0	0.6320439242680884E0	-0.6619032720518347E0	-1.582168519629403E0	8.579274864927163E0	13.573858613587237E0
hsa-miR-584-5p	0.1559938951826261E0	0.3827218642942163E0	136.32077352348932E0	7.09086161674319E0	136.32077352348932E0	221.2933113988479E0	1.623327872160587E0
hsa-miR-125a-3p	0.15693910756167712E0	0.3834883031547433E0	1.9503551491943325E0	0.9637368549125859E0	1.9503551491943325E0	115.15562821293759E0	59.0434148608864E0
hsa-miR-487b-5p	0.15882325674472228E0	0.3849424063990924E0	1319.587297010417E0	10.36587107965977E0	1319.587297010417E0	13.195872986103609E0	0.009999999999990905E0
hsa-miR-9901	0.15961218901809607E0	0.3849424063990924E0	3.8763377376633823E0	1.9546942754033536E0	3.8763377376633823E0	1.6779232578971914E0	0.4328630194449232E0
hsa-miR-125b-5p	0.1598942254222875E0	0.3849424063990924E0	0.7502279138319796E0	-0.41459915233882894E0	-1.3329282762783992E0	46180.088810951616E0	61554.74618015242E0
hsa-miR-625-5p	0.1600750600867513E0	0.3849424063990924E0	2.1964972361383324E0	1.135204684082607E0	2.1964972361383324E0	42.167398598314506E0	19.19756505901455E0
hsa-miR-3200-3p	0.16165779395271146E0	0.38721194915155394E0	0.486665910085665E0	-1.0389963744580024E0	-2.0547977149744794E0	38.6740390054447E0	79.46732698688638E0
hsa-miR-148b-3p	0.1644494523793619E0	0.3923479060704461E0	0.6617867847422643E0	-0.5955616122081392E0	-1.5110606966705362E0	6600.620122114496E0	9973.937640875201E0
hsa-miR-146a-5p	0.16769810325828743E0	0.39852961009616544E0	1.8746779951847756E0	0.9066428117978526E0	1.8746779951847756E0	84.67369241990434E0	45.167059424822696E0
hsa-miR-185-5p	0.1727888061208162E0	0.4090025494235625E0	0.5457738650712979E0	-0.8736247835196888E0	-1.8322606925660754E0	775.9803346877225E0	1421.7982655979763E0
hsa-let-7a-3p	0.17372817884784936E0	0.4090025494235625E0	1.9415962412928094E0	0.9572432207125863E0	1.9415962412928094E0	126.31586799763875E0	65.05774233440928E0
hsa-miR-218-5p	0.1741297982694375E0	0.4090025494235625E0	0.00867448589363091E0	-6.849006027915014E0	-115.28060708868436E0	7.494312765860505E0	863.9489260535074E0
hsa-miR-4772-3p	0.17608147320678477E0	0.4119725814264718E0	30.66195364512972E0	4.938377717009517E0	30.66195364512972E0	13.272425844583779E0	0.43286301944493744E0
hsa-miR-573	0.17675391282323874E0	0.4119725814264718E0	0.7065234014786244E0	-0.501190748570136E0	-1.415381285187699E0	6.834798748549671E0	9.673846237289041E0
hsa-miR-3928-3p	0.17823436737619516E0	0.4138315196550738E0	3.1144604273082486E0	1.6389822414919695E0	3.1144604273082486E0	10.323750981304627E0	3.3147799499403447E0
hsa-miR-19b-1-5p	0.18098334276052083E0	0.4186103271483802E0	1.8283893158820805E0	0.8705732937499618E0	1.8283893158820805E0	60.15684449168015E0	32.90155108816532E0
hsa-miR-363-5p	0.18232941885356083E0	0.42012025789071433E0	0.01530112731083413E0	-6.030218242357634E0	-65.35466176351197E0	0.6695140173109075E0	43.75586217817005E0
hsa-miR-197-5p	0.19057658402667726E0	0.43663751718695404E0	0.01652257805661407E0	-5.919417378361934E0	-60.523242594075384E0	0.009999999999962483E0	0.6052324263578441E0
hsa-miR-660-5p	0.1915249850222364E0	0.43663751718695404E0	0.5822096183927634E0	-0.7803894211894492E0	-1.7175944340469342E0	1523.8404823835024E0	2617.339931156387E0
hsa-miR-3180	0.19339590170513468E0	0.43663751718695404E0	2.638201630169003E0	1.3995548298391376E0	2.638201630169003E0	6.719969460829475E0	2.5471781166696132E0
hsa-miR-23b-3p	0.19425634353620713E0	0.43663751718695404E0	1.8111328902899813E0	0.8568924066572232E0	1.8111328902899813E0	928.8212589065515E0	512.8399267624554E0
hsa-miR-223-3p	0.19477814128027404E0	0.43663751718695404E0	66.95140168358711E0	6.065042354780363E0	66.95140168358711E0	0.6695140173105756E0	0.009999999999990905E0
hsa-miR-4449	0.19516202509194516E0	0.43663751718695404E0	0.02310199660702677E0	-5.435838646766375E0	-43.286301916252434E0	0.010000000000161435E0	0.43286301944493744E0
hsa-miR-190a-3p	0.19520216358203E0	0.43663751718695404E0	1.8144477957944565E0	0.8595305490564887E0	1.8144477957944565E0	9.396301959313227E0	5.178601434632997E0
hsa-let-7e-3p	0.19526199200934743E0	0.43663751718695404E0	2.7419165543851807E0	1.4551846657901708E0	2.7419165543851807E0	51.43446390979267E0	18.758581043894935E0
hsa-miR-3195	0.19729829791093628E0	0.439569001963336E0	66.95140168497299E0	6.065042354810227E0	66.95140168497299E0	0.6695140173092113E0	0.009999999999763531E0
hsa-miR-31-5p	0.19960892996994806E0	0.4420082969497694E0	0.011685983075218153E0	-6.419077084829462E0	-85.57260382488892E0	0.009999999999976694E0	0.8557260388898698E0
hsa-miR-3651	0.20001140448145827E0	0.4420082969497694E0	0.009726723378259479E0	-6.683830395592182E0	-102.80954450037441E0	0.009999999999948272E0	1.0280954458027765E0
hsa-miR-6724-5p	0.20058132287324518E0	0.4420082969497694E0	0.005568867383944483E0	-7.488400347711074E0	-179.56972774806684E0	0.010000000000104592E0	1.7956972790734653E0
hsa-miR-219b-3p	0.2016340469964506E0	0.4427182336226415E0	1.8691829515008418E0	0.9024077837997517E0	1.8691829515008418E0	4.46908504410133E0	2.3909297054313763E0
hsa-miR-4458	0.20483342182455463E0	0.44811932716852027E0	0.5404915142562913E0	-0.8876561271336699E0	-1.850167807677769E0	4.043636962345689E0	7.481406934445264E0
hsa-miR-181b-5p	0.21414510233345999E0	0.4668055108420027E0	0.013843954160241138E0	-6.174600120166981E0	-72.23369771563746E0	0.6695140173112202E0	48.36147317779458E0
hsa-miR-92a-3p	0.21665308566528674E0	0.4692517636942499E0	0.811137274948427E0	-0.3019820014953931E0	-1.2328369449715908E0	4516.002966263135E0	5567.4953006072865E0
hsa-miR-92b-5p	0.2168159964263861E0	0.4692517636942499E0	2.7723617977736454E0	1.471115543836523E0	2.7723617977736454E0	1.6779232578972767E0	0.6052324263578441E0
hsa-miR-1307-5p	0.21928673912402555E0	0.4729101918475426E0	0.6230317976996295E0	-0.6826222988725944E0	-1.6050545151824034E0	595.0275957404223E0	955.0517292776069E0
hsa-miR-668-3p	0.22277993345240152E0	0.47873985699345856E0	35.88952230588906E0	5.165490815714484E0	35.88952230588906E0	0.35889522327556733E0	0.009999999999990905E0
hsa-miR-501-3p	0.2238675565302856E0	0.4793420073419492E0	0.5825038790980879E0	-0.7796604376750532E0	-1.7167267650617823E0	9.047406736037715E0	15.531925299573686E0
hsa-miR-548e-3p	0.22464212885332271E0	0.4793420073419492E0	0.5888987833497096E0	-0.7639084019312402E0	-1.69808467647345E0	16.10186406002784E0	27.342328625436764E0
hsa-miR-331-5p	0.22631305093991402E0	0.4801266251942601E0	2.2101828321506147E0	1.1441657180903668E0	2.2101828321506147E0	16.880614725173814E0	7.637655345683484E0
hsa-miR-16-2-3p	0.2265944138705584E0	0.4801266251942601E0	1.6696619398742638E0	0.7395560266285345E0	1.6696619398742638E0	138.80395053719138E0	83.13296674632723E0
hsa-miR-154-5p	0.23507633359727728E0	0.4946964957724146E0	248.8182249617418E0	7.958948350882187E0	248.8182249617418E0	255.8088841542267E0	1.028095445802819E0
hsa-miR-484	0.23510328511956335E0	0.4946964957724146E0	0.3661004500733999E0	-1.4496885476358818E0	-2.731490769267038E0	7.417759907380457E0	20.26154271908706E0
hsa-miR-30c-1-3p	0.24458688204246717E0	0.5128707630371457E0	0.594238128784657E0	-0.7508869174425362E0	-1.6828270546106021E0	119.26141067364864E0	200.69632847028163E0
hsa-miR-4443	0.24819293406171136E0	0.5175830926675253E0	0.5869810698169419E0	-0.7686141178239239E0	-1.7036324532780311E0	6.524179954514409E0	11.11480470253673E0
hsa-miR-27b-3p	0.24854237618193048E0	0.5175830926675253E0	1.8350992501601557E0	0.8758580924100067E0	1.8350992501601557E0	11941.92424431804E0	6507.508649492122E0
hsa-miR-182-5p	0.2500692554578822E0	0.5189793452310844E0	0.4245483751670122E0	-1.2359991438481446E0	-2.3554441813765323E0	3050.460498816682E0	7185.189433496253E0
hsa-miR-196b-5p	0.25385532910567826E0	0.5250386670240308E0	116.37166195804916E0	6.862595975426577E0	116.37166195804916E0	524.2828256340915E0	4.505244802655966E0
hsa-miR-23a-3p	0.25896846170235605E0	0.5335597672386607E0	0.6770827131790306E0	-0.5625960090868387E0	-1.4769244296679973E0	2484.0655334651947E0	3668.777071512616E0
hsa-miR-874-5p	0.2605847043818283E0	0.5335597672386607E0	0.34596472707576775E0	-1.5313031398777692E0	-2.8904680787905748E0	1.6779232578973335E0	4.849983616481865E0
hsa-miR-130a-3p	0.26061665198456035E0	0.5335597672386607E0	0.7658473752398957E0	-0.38487118697192657E0	-1.3057431967913422E0	10400.961961075529E0	13580.985321371743E0
hsa-miR-17-5p	0.2662147684729743E0	0.543185689207483E0	1.4902469714175266E0	0.5755514413675514E0	1.4902469714175266E0	2735.95768013808E0	1835.908901295271E0
hsa-miR-29b-3p	0.2680423451242578E0	0.5450793998164437E0	1.4546504767964932E0	0.5406725442203432E0	1.4546504767964932E0	23429.895227295194E0	16106.890005227164E0
hsa-miR-576-3p	0.26931913332482854E0	0.5458441297486492E0	1.5598369986728455E0	0.6413952768484431E0	1.5598369986728455E0	4.120189820825832E0	2.6414233179633984E0
hsa-miR-4492	0.28808002376823727E0	0.5819216480118392E0	1.341307121360739E0	0.4236396113911911E0	1.341307121360739E0	4.005360533105431E0	2.9861621317893423E0
hsa-miR-874-3p	0.2915129466004394E0	0.58657365107868E0	0.6128762803818227E0	-0.7063322243872904E0	-1.6316506805859718E0	5.362664996967524E0	8.749995992780072E0
hsa-miR-3934-3p	0.29294079424706954E0	0.58657365107868E0	8.624017297062933E0	3.108360071685257E0	8.624017297062933E0	3.7330181683102737E0	0.43286301944493744E0
hsa-miR-532-5p	0.29328682553934E0	0.58657365107868E0	0.6158369854926012E0	-0.6993795805666054E0	-1.6238063376464975E0	2414.230582940394E0	3920.2429214395415E0
hsa-let-7i-3p	0.30089418076791014E0	0.599808794557084E0	26.274371901326102E0	4.71558437132323E0	26.274371901326102E0	290.4054171282005E0	11.052801492592323E0
hsa-miR-6844	0.30222140527745117E0	0.6004792511414275E0	1.3982548805176265E0	0.4836273659653951E0	1.3982548805176265E0	4.043636962345688E0	2.8919169304954204E0
hsa-miR-1247-3p	0.3054792263662008E0	0.6049686639801232E0	1.2596340838735114E0	0.3330047003519282E0	1.2596340838735114E0	4.392532185621186E0	3.4871493568532648E0
hsa-miR-361-3p	0.3118061366739504E0	0.6154870320013484E0	0.6575989542816472E0	-0.6047200900494595E0	-1.520683683404557E0	91.68546595453972E0	139.42459209228173E0
hsa-miR-9-5p	0.3142887385667046E0	0.6183732973098148E0	0.6657691129489195E0	-0.586906153861058E0	-1.5020222184394487E0	5563.122423042146E0	8355.933483882056E0
hsa-miR-18a-3p	0.3159384405025535E0	0.6196074270050078E0	1.5209757520428213E0	0.6049971532685746E0	1.5209757520428213E0	57.40395913471616E0	37.741534704647165E0
hsa-miR-339-5p	0.3181864541617886E0	0.6220031974904642E0	1.3232615583856138E0	0.40409825563746116E0	1.3232615583856138E0	726.4578599713814E0	548.9903755862911E0
hsa-miR-19a-5p	0.31964729155446203E0	0.6228497063730032E0	1.5348275133106886E0	0.6180765320295724E0	1.5348275133106886E0	4.703150979656613E0	3.0642863374083316E0
hsa-miR-132-5p	0.32517088401718436E0	0.630148218437785E0	0.5481754669638563E0	-0.8672903316298671E0	-1.8242334074865385E0	168.84721616812453E0	308.0167325262638E0
hsa-miR-7977	0.32547259467166123E0	0.630148218437785E0	0.7187949113667575E0	-0.47634789941169714E0	-1.3912174170773457E0	54.81299421494259E0	76.25679223823988E0
