microRNA ID	P-value (EV CL1-0 vs. CE CL1-0)	FDR step up (EV CL1-0 vs. CE CL1-0)	Ratio (EV CL1-0 vs. CE CL1-0)	Log2(Ratio) (EV CL1-0 vs. CE CL1-0)	Fold change (EV CL1-0 vs. CE CL1-0)	LSMean(EV CL1-0) (EV CL1-0 vs. CE CL1-0)	LSMean(CE CL1-0) (EV CL1-0 vs. CE CL1-0)
hsa-miR-1247-3p	6.856456510116842E-7	1.2220625426855313E-5	0.0028676718392440384E0	-8.445904345344347E0	-348.71493534058453E0	0.009999999999999787E0	3.4871493568532648E0
hsa-miR-98-3p	7.172202891137242E-7	1.2418157005797625E-5	0.0010156186267901734E0	-9.943425524804892E0	-984.6215632736714E0	0.010000000000005116E0	9.846215644201948E0
hsa-miR-450a-1-3p	8.022769761003153E-7	1.3504995764355308E-5	8.295467339668654E-4	-10.235389119329119E0	-1205.4775928271488E0	0.010000000000005116E0	12.054775942720417E0
hsa-miR-1294	8.6606728748048E-7	1.4184777735491104E-5	0.0012933430726990087E0	-9.594679268887084E0	-773.1900538293783E0	0.009999999999999787E0	7.731900546977286E0
hsa-miR-573	9.656970116147695E-7	1.540032602733027E-5	0.0010337150050060884E0	-9.917945794887059E0	-967.384622606025E0	0.00999999999999801E0	9.673846237289041E0
hsa-miR-651-3p	1.1466842352482409E-6	1.7381358590647673E-5	0.001589587041331201E0	-9.297132268086312E0	-629.0942074883482E0	0.009999999999999787E0	6.290942081729575E0
hsa-miR-4508	1.1472843954222885E-6	1.7381358590647673E-5	314888.08815178776E0	18.264479657475754E0	314888.08815178776E0	3148.880888247108E0	0.009999999999990905E0
hsa-miR-942-5p	1.316647771825273E-6	1.908968100390593E-5	4.202928194634943E-5	-14.53824566561026E0	-23792.935631793673E0	0.009999999999990905E0	237.9293567226191E0
hsa-miR-499a-5p	1.3230471982905098E-6	1.908968100390593E-5	7.798865535538472E-4	-10.324448102406292E0	-1282.2377760497636E0	0.00999999999999801E0	12.822377775991171E0
hsa-miR-4467	1.3791255483802257E-6	1.943604842600969E-5	0.004887129568414427E0	-7.67679693059295E0	-204.61908897668914E0	0.009999999999999787E0	2.046190891605555E0
hsa-miR-183-3p	1.4395948922421636E-6	1.9556286298889653E-5	4.303350988089214E-4	-11.182251865982947E0	-2323.770482044791E0	0.010000000000005116E0	23.23770485087628E0
hsa-miR-4791	1.4973549868448506E-6	1.9556286298889653E-5	0.0021378419772039208E0	-8.869629067305176E0	-467.76142047126325E0	0.009999999999999787E0	4.6776142095689535E0
hsa-miR-134-5p	1.5063318518499289E-6	1.9556286298889653E-5	26475.781260962307E0	14.692385636182017E0	26475.781260962307E0	264.75781305869396E0	0.009999999999763531E0
hsa-miR-664a-3p	1.5167416766465572E-6	1.9556286298889653E-5	0.002029176384011602E0	-8.944890009375886E0	-492.8107816941173E0	0.009999999999999787E0	4.9281078221009755E0
hsa-miR-3131	1.5669909740406744E-6	1.9783261047263514E-5	0.0032634026029451993E0	-8.259407302306602E0	-306.4286334445853E0	0.009999999999999787E0	3.0642863374083316E0
hsa-miR-3688-3p	1.6772814663969037E-6	2.0743521808908644E-5	7.915220166606542E-4	-10.303082899199147E0	-1263.388735816714E0	0.009999999999999787E0	12.633887373403573E0
hsa-miR-1277-5p	1.929478316308965E-6	2.301468895944841E-5	4.320875169269665E-4	-11.176388827695405E0	-2314.3459619293394E0	0.010000000000005116E0	23.143459649582482E0
hsa-miR-6505-5p	1.9368797639139752E-6	2.301468895944841E-5	0.0015287163977964022E0	-9.353463496957847E0	-654.1435687099774E0	0.009999999999999787E0	6.541435694261597E0
hsa-miR-361-3p	2.011128773647239E-6	2.343171034086666E-5	7.172335859865532E-5	-13.767197427388169E0	-13942.459186772498E0	0.009999999999990905E0	139.42459209228173E0
hsa-miR-188-3p	2.0610307527485654E-6	2.343171034086666E-5	3.6241309160554456E-4	-11.430077308124305E0	-2759.28222010372E0	0.010000000000005116E0	27.59282223796879E0
hsa-miR-3684	2.1236753879741983E-6	2.343171034086666E-5	0.001120779027029839E0	-9.801282420464467E0	-892.2365389456709E0	0.009999999999999787E0	8.922365399692975E0
hsa-miR-30c-1-3p	2.1384290864003535E-6	2.343171034086666E-5	4.982652195454535E-5	-14.292726601480044E0	-20069.632813469463E0	0.009999999999990905E0	200.69632847028163E0
hsa-miR-32-3p	2.2159515365477313E-6	2.343171034086666E-5	7.221859142305469E-5	-13.757270192710097E0	-13846.849963356737E0	0.009999999999990905E0	138.46849985642336E0
hsa-miR-101-2-5p	2.2407524676537513E-6	2.343171034086666E-5	0.004050134330622377E0	-7.947814526070045E0	-246.90539087535197E0	0.009999999999999787E0	2.469053911050488E0
hsa-miR-153-3p	2.242638943515291E-6	2.343171034086666E-5	4.19303768673235E-4	-11.219716582463757E0	-2384.9058241575303E0	0.010000000000005116E0	23.849058272908813E0
hsa-miR-545-3p	2.333980508715652E-6	2.3972748953926865E-5	7.452892028722919E-4	-10.389912020299898E0	-1341.761018603343E0	0.00999999999999801E0	13.417610202349017E0
hsa-miR-2278	2.462573460719099E-6	2.41147214312141E-5	0.0010809661823020923E0	-9.853462895158652E0	-925.0983207174329E0	0.009999999999999787E0	9.250983217844107E0
hsa-miR-29b-1-5p	2.4671406906763233E-6	2.41147214312141E-5	5.46083760113694E-5	-14.160518221033925E0	-18312.209097589737E0	0.010000000000218279E0	183.12209128342784E0
