microRNA ID	P-value (EV CL1-5 vs. CE CL1-5)	FDR step up (EV CL1-5 vs. CE CL1-5)	Ratio (EV CL1-5 vs. CE CL1-5)	Log2(Ratio) (EV CL1-5 vs. CE CL1-5)	Fold change (EV CL1-5 vs. CE CL1-5)	LSMean(EV CL1-5) (EV CL1-5 vs. CE CL1-5)	LSMean(CE CL1-5) (EV CL1-5 vs. CE CL1-5)
hsa-miR-652-5p	7.675169294317521E-7	1.3679860565754171E-5	0.0010471853700867028E0	-9.899267437586003E0	-954.9407665208348E0	0.009999999999999787E0	9.549407676273523E0
hsa-miR-4467	8.857112071316099E-7	1.4734259082002486E-5	0.002954975387199809E0	-8.402638170811786E0	-338.4122941706188E0	0.010000000000000231E0	3.384122945034765E0
hsa-miR-582-5p	8.923448142566616E-7	1.4734259082002486E-5	3.043431336878159E-4	-11.682013562136158E0	-3285.7649452534174E0	0.010000000000005116E0	32.857649497481425E0
hsa-miR-411-3p	8.996164786041121E-7	1.4734259082002486E-5	8.339119135909185E-4	-10.227817380216639E0	-1199.1674224845733E0	0.009999999999999787E0	11.991674239202002E0
hsa-miR-12135	1.0443793631679873E-6	1.6434597518568155E-5	3.146906900268306E-5	-14.95570597661014E0	-31777.23497046385E0	0.009999999999990905E0	317.77235026065E0
hsa-miR-33a-3p	1.0778935798661306E-6	1.6434597518568155E-5	2.9666067810497394E-4	-11.718898666962778E0	-3370.854561473591E0	0.010000000000005116E0	33.708545660992705E0
hsa-miR-1185-5p	1.0847919154170398E-6	1.6434597518568155E-5	0.0017163287825308195E0	-9.186458340512345E0	-582.6389501698188E0	0.009999999999999787E0	5.826389507963252E0
hsa-miR-101-2-5p	1.1929855452084347E-6	1.7632908302349058E-5	0.0018256522948099589E0	-9.097372262121784E0	-547.7494278854972E0	0.009999999999999787E0	5.477494284687754E0
hsa-miR-573	1.2610249514584638E-6	1.8194788585329265E-5	0.0014631008723035859E0	-9.416755046316666E0	-683.4798741016027E0	0.009999999999999787E0	6.834798748549671E0
hsa-miR-1294	1.3074095677201077E-6	1.8425353442753144E-5	0.0022569243854834464E0	-8.791426200432493E0	-443.0808610301732E0	0.009999999999999787E0	4.4308086148612595E0
hsa-miR-3065-3p	1.3942235682793585E-6	1.893467192790839E-5	0.001399498343028908E0	-9.480874505865152E0	-714.5417534655445E0	0.009999999999999787E0	7.145417542585099E0
hsa-miR-4497	1.4060399946466624E-6	1.893467192790839E-5	953612.3918582434E0	19.86304345767426E0	953612.3918582434E0	9536.123932289496E0	0.009999999991123332E0
hsa-miR-499a-5p	1.6001236859451515E-6	2.1079890297451344E-5	0.0010221318529992855E0	-9.934202971558346E0	-978.3473600452397E0	0.009999999999999787E0	9.783473611828795E0
hsa-miR-4791	1.7451724241747911E-6	2.250158487340263E-5	0.002678797573205499E0	-8.544198718474885E0	-373.3018164576659E0	0.010000000000000231E0	3.733018168310262E0
hsa-miR-3689a-3p	1.859670165815061E-6	2.347833584341515E-5	0.0016193585309944316E0	-9.270361846505876E0	-617.5284724537871E0	0.009999999999999787E0	6.175284731238749E0
hsa-miR-544b	2.466410877647031E-6	3.0502959017430624E-5	0.0012812412171081037E0	-9.608242169665868E0	-780.4931551118104E0	0.009999999999999787E0	7.804931559896023E0
hsa-miR-10523-5p	2.5522327647413336E-6	3.093306110866496E-5	0.0015602204545809276E0	-9.324034392587441E0	-640.9350659798895E0	0.009999999999999787E0	6.409350666794031E0
hsa-miR-3131	2.6738371764085552E-6	3.1315208071502716E-5	0.005826827777464983E0	-7.423073614833052E0	-171.61996856462088E0	0.010000000000000009E0	1.7161996871374183E0
hsa-miR-3912-3p	2.7438815546448287E-6	3.1315208071502716E-5	0.0015509581838371125E0	-9.332624494989622E0	-644.762708899071E0	0.009999999999999787E0	6.447627096034103E0
hsa-miR-545-3p	2.788228512883754E-6	3.1315208071502716E-5	9.575803751633989E-4	-10.028318793835039E0	-1044.2987616881378E0	0.009999999999999787E0	10.442987629139717E0
hsa-miR-183-3p	2.79046408557945E-6	3.1315208071502716E-5	0.0011006327019766236E0	-9.827451184919424E0	-908.5683154826332E0	0.009999999999999787E0	9.085683165277795E0
hsa-miR-6505-5p	2.9298509276963175E-6	3.203550792190424E-5	0.0024730212190797575E0	-8.659509666232333E0	-404.36369582470167E0	0.009999999999999787E0	4.043636962345689E0
hsa-miR-1277-5p	2.96037696968092E-6	3.203550792190424E-5	8.365822146095142E-4	-10.223205052338958E0	-1195.3397795657934E0	0.009999999999999787E0	11.953397809961926E0
hsa-miR-188-3p	3.2122769351190933E-6	3.4151575836529303E-5	7.320859940650019E-4	-10.415699255733667E0	-1365.9597480445857E0	0.009999999999999787E0	13.659597497099346E0
hsa-miR-450a-5p	3.47085354272154E-6	3.625301898142549E-5	0.0018384996292474714E0	-9.087255399055275E0	-543.92178496621E0	0.009999999999999787E0	5.439217855447682E0
hsa-miR-6844	3.5295843562773987E-6	3.625301898142549E-5	0.0024730212190797575E0	-8.659509666232333E0	-404.36369582470167E0	0.009999999999999787E0	4.043636962345688E0
hsa-miR-153-3p	3.7075440681446858E-6	3.744619508826133E-5	8.501944137643796E-4	-10.199919599825366E0	-1176.2015649718642E0	0.009999999999999787E0	11.762015663761565E0
hsa-miR-3684	3.982663929858253E-6	3.956548100810002E-5	0.002678797573205499E0	-8.544198718474885E0	-373.3018164576659E0	0.010000000000000231E0	3.733018168310263E0
hsa-miR-551b-3p	4.574355750278739E-6	4.4177387302741E-5	8.674569414054197E-4	-10.17092023219008E0	-1152.7949714481956E0	0.009999999999999787E0	11.527949728206288E0
hsa-miR-450a-2-3p	4.592698679987926E-6	4.4177387302741E-5	8.761845688068873E-4	-10.15647757313079E0	-1141.3120426917742E0	0.009999999999999787E0	11.413120440486068E0
hsa-miR-5000-3p	5.142314999472131E-6	4.8105099121392634E-5	0.0011655996769945277E0	-9.744711901939798E0	-857.9274855141323E0	0.009999999999999787E0	8.579274864927163E0
hsa-miR-1226-5p	5.2241014957788406E-6	4.8105099121392634E-5	15811.172027582994E0	13.948656693210992E0	15811.172027582994E0	158.11172053564007E0	0.010000000000104592E0
hsa-miR-3688-3p	5.239169211240782E-6	4.8105099121392634E-5	0.003670251502047259E0	-8.089905358289966E0	-272.4608925143691E0	0.010000000000000231E0	2.724608927723841E0
hsa-miR-338-3p	5.940091740179708E-6	5.3726799918640346E-5	0.005826827777465014E0	-7.4230736148330445E0	-171.61996856461994E0	0.010000000000000009E0	1.7161996871374094E0
hsa-miR-3140-3p	6.308566745289615E-6	5.62204624653751E-5	0.00212623410425182E0	-8.877483834336175E0	-470.3150974769452E0	0.009999999999999787E0	4.703150979656613E0
