microRNA ID	P-value (CE CL1-5 vs. CE CL1-0)	FDR step up (CE CL1-5 vs. CE CL1-0)	Ratio (CE CL1-5 vs. CE CL1-0)	Log2(Ratio) (CE CL1-5 vs. CE CL1-0)	Fold change (CE CL1-5 vs. CE CL1-0)	LSMean(CE CL1-5) (CE CL1-5 vs. CE CL1-0)	LSMean(CE CL1-0) (CE CL1-5 vs. CE CL1-0)
hsa-miR-20b-3p	3.75232638291135E-6	6.348606756480885E-5	9.436012843866735E-4	-10.049534997240595E0	-1059.7696469330103E0	0.01000000000000135E0	10.597696481798017E0
hsa-miR-214-3p	3.771449558305476E-6	6.348606756480885E-5	2.3605356227364852E-4	-12.048598124797552E0	-4236.326664033714E0	0.009999999999967599E0	42.36326669994641E0
hsa-miR-495-3p	4.720999300799228E-6	7.732231287254951E-5	373.3018164574849E0	8.544198718474185E0	373.3018164574849E0	3.7330181683102737E0	0.010000000000005116E0
hsa-miR-338-3p	5.1850949141869254E-6	8.268861889466519E-5	0.0053082702536221835E0	-7.557542461874997E0	-188.3852841361334E0	1.7161996871374094E0	323.30676598173454E0
hsa-let-7f-1-3p	6.173942727226492E-6	9.593357160767319E-5	1059.6093333645317E0	10.049316741239359E0	1059.6093333645317E0	10.596093346100005E0	0.009999999999990905E0
hsa-miR-100-5p	6.584470648250188E-6	9.975473032099035E-5	9.497677497032289E0	3.2475747689008716E0	9.497677497032289E0	13715.792889292774E0	1444.120721972773E0
hsa-miR-493-5p	7.137722605932847E-6	1.0549902193159281E-4	34852.22204431117E0	15.088963019290595E0	34852.22204431117E0	348.52222105836324E0	0.009999999999990905E0
hsa-miR-99a-5p	7.931712126510478E-6	1.144432749682226E-4	0.0015515033982391726E0	-9.332117427874454E0	-644.5361325891499E0	9.43457838855295E0	6080.92667380967E0
hsa-miR-1286	8.214637985569565E-6	1.1576908416872458E-4	0.0647294056702075E0	-3.949434932318321E0	-15.448929117238322E0	1.3673044638619183E0	21.123389753651615E0
hsa-miR-30a-5p	1.0228225514253348E-5	1.3821034191462573E-4	0.0063819435971489095E0	-7.291788426354034E0	-156.69207738638482E0	42.35437338440022E0	6636.594757664833E0
hsa-miR-30a-3p	1.026314420158112E-5	1.3821034191462573E-4	0.011503372088898282E0	-6.441799356186332E0	-86.93103137688502E0	96.30647143583292E0	8372.020896498307E0
hsa-miR-136-5p	1.0561906574030245E-5	1.3914163877961583E-4	12383.091744839388E0	13.596083943541933E0	12383.091744839388E0	123.8309176453553E0	0.009999999999990905E0
hsa-miR-20b-5p	1.4078098763414247E-5	1.8151761384317095E-4	0.021847282676273803E0	-5.516402338572971E0	-45.77228275102616E0	1746.812126104294E0	79955.57860059563E0
hsa-miR-887-3p	2.2481695214287604E-5	2.83831402080381E-4	7.895071749304239E-4	-10.306760002394265E0	-1266.612934946571E0	0.010000000000004903E0	12.666129364752951E0
hsa-miR-299-3p	2.805004624914445E-5	3.469046536118681E-4	393.46170939981715E0	8.620079433266339E0	393.46170939981715E0	404.51619193986255E0	1.0280954458027054E0
hsa-let-7i-5p	3.4471428026144803E-5	4.17793707676875E-4	42.93634238631614E0	5.424127392607691E0	42.93634238631614E0	58203.110721851066E0	1355.5675087835698E0
hsa-miR-10b-5p	3.656107845205106E-5	4.3443163807731255E-4	0.01600359851611456E0	-5.9654598485601715E0	-62.485946457171266E0	42.048161950480335E0	2627.4191980948585E0
hsa-miR-708-5p	7.054910984332881E-5	8.221684724049473E-4	237.36934830496136E0	7.890989840409751E0	237.36934830496136E0	1009.9475181324374E0	4.254751190124352E0
hsa-miR-181a-2-3p	7.708112912792027E-5	8.813427217267865E-4	0.01381367495844898E0	-6.177759007831042E0	-72.39203202681132E0	22.309832580621276E0	1615.0541158570306E0
hsa-miR-4508	8.120711608332204E-5	9.113243027128363E-4	202.68184793572493E0	7.66307307746576E0	202.68184793572493E0	2.02681848117345E0	0.009999999999990905E0
hsa-miR-199b-3p	8.392651957315465E-5	9.158898639012715E-4	0.007437656436634858E0	-7.0709361767512755E0	-134.4509535388605E0	76.79339328129907E0	10324.944960701154E0
hsa-miR-199a-3p	8.463668709318681E-5	9.158898639012715E-4	0.007136058326149966E0	-7.130656877573233E0	-140.1333837667101E0	74.42767957685186E0	10429.802593714183E0
hsa-miR-411-5p	9.540678856512452E-5	0.001014324804745008E0	861.9818296753447E0	9.751513647820463E0	861.9818296753447E0	1250.6998340846694E0	1.450958465247595E0
hsa-miR-487a-5p	1.0142389943036117E-4	0.001059704880255153E0	380.957102296718E0	8.57348474185519E0	380.957102296718E0	3.8095710267904077E0	0.010000000000000231E0
hsa-miR-2682-3p	1.2612181658450556E-4	0.0012874595956158198E0	0.0017801242366738599E0	-9.133806352808273E0	-561.7585443746823E0	0.009999999999999573E0	5.61758544975262E0
hsa-let-7a-5p	1.2747124709067525E-4	0.0012874595956158198E0	5.1050052502170855E0	2.35191244483633E0	5.1050052502170855E0	46844.2881539575E0	9176.14886665772E0
hsa-miR-485-5p	1.3760311600814493E-4	0.0013551588649667132E0	578.8113072510847E0	9.176949295396481E0	578.8113072510847E0	5.788113078723171E0	0.009999999999990905E0
hsa-miR-556-3p	1.3864661654774954E-4	0.0013551588649667132E0	0.15157092035909162E0	-2.7219351031060874E0	-6.597571602988669E0	3.0735041509993355E0	20.27766371476175E0
hsa-miR-34a-5p	1.6521799990854184E-4	0.0015892398086440693E0	195.93401680579956E0	7.614224080574038E0	195.93401680579956E0	815.1846510626426E0	4.160505988830209E0
