microRNA ID	P-value (EV CL1-5 vs. EV CL1-0)	FDR step up (EV CL1-5 vs. EV CL1-0)	Ratio (EV CL1-5 vs. EV CL1-0)	Log2(Ratio) (EV CL1-5 vs. EV CL1-0)	Fold change (EV CL1-5 vs. EV CL1-0)	LSMean(EV CL1-5) (EV CL1-5 vs. EV CL1-0)	LSMean(EV CL1-0) (EV CL1-5 vs. EV CL1-0)
hsa-miR-16-5p	0.019690884053470067E0	0.0877402627676681E0	2.166262638154103E0	1.1152081662113256E0	2.166262638154103E0	51403.68124334757E0	23729.200850936068E0
hsa-miR-34a-5p	0.021040958345443766E0	0.09307168436013812E0	0.14936797138625782E0	-2.7430572672149784E0	-6.694875686662785E0	285.06273395022856E0	1908.4595673097867E0
hsa-miR-17-5p	0.023821946880791665E0	0.10427264996487988E0	2.7600850861767863E0	1.4647127421893849E0	2.7600850861767863E0	1307.7153960580813E0	473.79531971070264E0
hsa-miR-4454	0.023917324001845385E0	0.10427264996487988E0	0.08018512154568833E0	-3.6405216222162813E0	-12.471141537525941E0	140.77522827732787E0	1755.6277975722196E0
hsa-miR-125b-5p	0.02482047275972093E0	0.10743718923136346E0	1.8141153127296434E0	0.8592661624903568E0	1.8141153127296434E0	34402.4115157143E0	18963.740215879574E0
hsa-let-7b-5p	0.0256123384654238E0	0.11007856106416185E0	2.897261372519476E0	1.53468984126287E0	2.897261372519476E0	9970.160541773388E0	3441.236139255265E0
hsa-miR-203a-3p	0.02611375364744637E0	0.111443202185581E0	21.8870869972579E0	4.452008050581969E0	21.8870869972579E0	15247.34468121565E0	696.6365453374456E0
hsa-miR-196a-5p	0.030086493090463944E0	0.1274994042854626E0	4.995233489269312E0	2.320552114641945E0	4.995233489269312E0	2576.0514377387753E0	515.7019071426548E0
hsa-miR-340-5p	0.031399706914498414E0	0.13214043326518082E0	2.6555072068142973E0	1.4089874447842077E0	2.6555072068142973E0	555.1271605725265E0	209.04750665200936E0
hsa-miR-22-3p	0.033580510064150394E0	0.14010351459098508E0	2.0257245586962593E0	1.0184380217116993E0	2.0257245586962593E0	1721.7924336337287E0	849.9637455827667E0
hsa-miR-574-3p	0.03375431209617792E0	0.14010351459098508E0	3.563575330842162E0	1.8333254219910842E0	3.563575330842162E0	2781.191370469037E0	780.4497202013499E0
hsa-miR-423-5p	0.03858619836419992E0	0.15906963407282418E0	2.5761507944890347E0	1.3652170437996816E0	2.5761507944890347E0	9655.1311931673E0	3747.890539745912E0
hsa-miR-6834-5p	0.04027967107214986E0	0.16426002511531906E0	0.017073033312031964E0	-5.872136789554646E0	-58.57190000884406E0	31.160707121051647E0	1825.141822953637E0
hsa-miR-30c-5p	0.04038736591119231E0	0.16426002511531906E0	0.5690212357256444E0	-0.8134456003442689E0	-1.757403655989657E0	364.70064045064396E0	640.9262389307582E0
hsa-miR-93-3p	0.04154518567352725E0	0.16784255012105012E0	2.727246610914982E0	1.4474451616604784E0	2.727246610914982E0	1140.220935800914E0	418.0850133040176E0
hsa-miR-4508	0.04225192921239346E0	0.1695673450510625E0	0.30862624293548113E0	-1.6960673533184338E0	-3.2401651605792052E0	971.8272777981072E0	3148.880888247108E0
hsa-miR-381-3p	0.046593045079788065E0	0.18575911393652347E0	58.54089813848978E0	5.871372974730464E0	58.54089813848978E0	3261.9167838410144E0	55.72030640668527E0
hsa-miR-15b-5p	0.04712968230397818E0	0.1866705063804626E0	2.052789659928426E0	1.0375858085840985E0	2.052789659928426E0	2202.2429522861557E0	1072.8049712095053E0
hsa-miR-7-5p	0.05120990408052741E0	0.20151429787532216E0	2.904540580520758E0	1.538309986479964E0	2.904540580520758E0	6476.859869074393E0	2229.9085477906774E0
hsa-miR-142-5p	0.052081359269407296E0	0.20328463614082573E0	0.2070218506802669E0	-2.2721450459822465E0	-4.830407982123787E0	328.85356346882867E0	1588.4968783521642E0
hsa-miR-10401-3p	0.052330698412489794E0	0.20328463614082573E0	0.02727846357540989E0	-5.196093801078293E0	-36.6589561481552E0	31.160707121051647E0	1142.3189965909255E0
hsa-miR-132-5p	0.05326183921357444E0	0.20558391441672683E0	4.432425316625397E0	2.1480963228911634E0	4.432425316625397E0	926.5874610947646E0	209.0475066520089E0
hsa-miR-12136	0.053650003667886574E0	0.20577153305531182E0	0.02830250985081648E0	-5.142926193651501E0	-35.332555496704536E0	16.17239979312128E0	571.412213549341E0
hsa-miR-93-5p	0.05406211883544181E0	0.20604807556149518E0	2.246095264257253E0	1.1674191184584113E0	2.246095264257253E0	58469.42205976547E0	26031.586007154707E0
hsa-miR-200c-3p	0.057940245514949806E0	0.21869820665592177E0	0.10474214373469097E0	-3.255086057359448E0	-9.547255425027132E0	270.0744266222981E0	2578.4695357132796E0
hsa-miR-7977	0.05810298889703532E0	0.21869820665592177E0	0.41341604161936907E0	-1.2743337247120565E0	-2.4188708209844867E0	697.0664813150454E0	1686.1137721908021E0
hsa-miR-210-3p	0.05919067993856005E0	0.2210303790963923E0	29.988296118986586E0	4.906327648086957E0	29.988296118986586E0	1670.957049323983E0	55.72030640668527E0
hsa-miR-1260b	0.059452065664541164E0	0.2210303790963923E0	37.73077919788249E0	5.237669989186278E0	37.73077919788249E0	2102.3705791579428E0	55.72030640668527E0
hsa-miR-92a-1-5p	0.061453151905207525E0	0.2270768905765595E0	35.47348865224754E0	5.148669314469732E0	35.47348865224754E0	1976.5936582085449E0	55.72030640668527E0
hsa-miR-1296-5p	0.06289917487468161E0	0.23101151499428518E0	2.4408386269781395E0	1.28737691627669E0	2.4408386269781395E0	646.2310970052997E0	264.75781305869396E0
hsa-miR-425-5p	0.06351318897851409E0	0.231301148595035E0	0.5858574295087493E0	-0.7713784725023873E0	-1.706899920751224E0	1551.05059070054E0	2647.4881305869403E0
hsa-miR-296-3p	0.0637414056359255E0	0.231301148595035E0	26.28069052443198E0	4.715931277818751E0	26.28069052443198E0	1464.3681294089793E0	55.72030640668527E0
hsa-miR-744-5p	0.06548066270032783E0	0.2358459510033881E0	1.7081212764258598E0	0.7724104097867249E0	1.7081212764258598E0	3165.5666881083744E0	1853.2446914108582E0
hsa-let-7g-5p	0.06577222065936071E0	0.2358459510033881E0	1.8555052721965126E0	0.8918121002868306E0	1.8555052721965126E0	3515.5439159506404E0	1894.6558483350555E0
hsa-miR-625-3p	0.0661710636124301E0	0.23588037970078024E0	26.319502782820834E0	4.718060329418938E0	26.319502782820834E0	2932.798325652634E0	111.43061281337077E0
hsa-miR-1228-5p	0.0683818836982912E0	0.24233579836938282E0	0.047593220320572886E0	-4.393100114277436E0	-21.01139601952371E0	31.160707121051647E0	654.7299579054907E0
hsa-miR-199a-5p	0.07125969951856166E0	0.25106615062935095E0	0.02036176238724609E0	-5.617993752265751E0	-49.1116623886332E0	16.172399793121283E0	794.2534391760821E0
hsa-miR-378c	0.07479468256213674E0	0.2612812988766002E0	0.06576828820174915E0	-3.926464069068848E0	-15.204896270561658E0	31.160707121051647E0	473.79531971070276E0
hsa-miR-100-3p	0.0752418956035495E0	0.2612812988766002E0	21.374331986901108E0	4.4178074269680145E0	21.374331986901108E0	4763.296082696999E0	222.85122562674223E0
hsa-miR-335-5p	0.07550257563269672E0	0.2612812988766002E0	15.389656692238004E0	3.9438891437120263E0	15.389656692238004E0	857.5163867810672E0	55.72030640668527E0
hsa-let-7i-5p	0.07588367756152084E0	0.2612812988766002E0	1.843704323662268E0	0.8826073081592928E0	1.843704323662268E0	28821.612703639716E0	15632.448397914399E0
hsa-miR-429	0.07966491243659443E0	0.27275105613884876E0	0.07736231854241744E0	-3.6922251568585835E0	-12.926189633932754E0	16.172399793121283E0	209.04750665200876E0
hsa-miR-18a-5p	0.08376006737914095E0	0.28424791248172304E0	12.283248294296431E0	3.618620225495655E0	12.283248294296431E0	684.4263589174968E0	55.72030640668527E0
hsa-miR-222-5p	0.08396101705318222E0	0.28424791248172304E0	15.337772738766581E0	3.9390170932412336E0	15.337772738766581E0	2351.8511308459074E0	153.33720024532386E0
hsa-miR-589-5p	0.08453622930328067E0	0.2846053053210449E0	2.2028530933369996E0	1.1393732859688281E0	2.2028530933369996E0	460.5009467441808E0	209.0475066520088E0
hsa-miR-4449	0.08606564520807446E0	0.28643831193302033E0	0.040093044037409806E0	-4.640504232476715E0	-24.941982431339593E0	158.11172053564007E0	3943.619757930946E0
hsa-miR-181a-3p	0.08660237066332499E0	0.28643831193302033E0	0.09723496735119777E0	-3.3623809649124157E0	-10.284366079829631E0	31.160707121051647E0	320.46811946537923E0
hsa-miR-374a-3p	0.08709164614085801E0	0.28643831193302033E0	11.144067432531008E0	3.4782039876846564E0	11.144067432531008E0	620.9508522102028E0	55.72030640668527E0
hsa-miR-375-3p	0.08731467257713495E0	0.28643831193302033E0	0.02253527755429559E0	-5.47167097075141E0	-44.37486947256985E0	109.62452115627622E0	4864.573820418399E0
hsa-miR-3651	0.0874440391214666E0	0.28643831193302033E0	0.07438004106829811E0	-3.7489406452529814E0	-13.444466897803515E0	80.82199896560641E0	1086.6086901842405E0
hsa-miR-29a-3p	0.09023540345776994E0	0.2939927661043472E0	1.7853939597188757E0	0.8362424501767247E0	1.7853939597188757E0	32112.247496084412E0	17986.084985969937E0
hsa-miR-197-3p	0.09239168240373495E0	0.2987644695225161E0	12.537928641115103E0	3.64822711878286E0	12.537928641115103E0	2095.6009190863488E0	167.14091922005582E0
hsa-miR-130a-5p	0.09268600704658915E0	0.2987644695225161E0	9.92060186089759E0	3.310427648373517E0	9.92060186089759E0	552.7789756421448E0	55.72030640668504E0
hsa-miR-1307-5p	0.09478826867540482E0	0.30306517970190455E0	0.48224852723523676E0	-1.0521512625303806E0	-2.0736196038442403E0	678.5558965915424E0	1407.0668096496197E0
hsa-miR-455-5p	0.09502043588013509E0	0.30306517970190455E0	10.695263212011252E0	3.418900082765788E0	10.695263212011252E0	1787.6161252714048E0	167.14091922005582E0
hsa-miR-152-3p	0.09927320329243043E0	0.3149715245822662E0	0.10547769816541208E0	-3.2449901020912124E0	-9.480677123156228E0	96.98439875872768E0	919.4777709641846E0
hsa-miR-138-5p	0.09986567912785496E0	0.31520104974729224E0	7.974445502007385E0	2.9953842054836213E0	7.974445502007385E0	444.33854695105947E0	55.72030640668527E0
hsa-miR-935	0.101592117646333E0	0.3189887217289005E0	8.921198757286957E0	3.157237580660589E0	8.921198757286957E0	1491.0973613888186E0	167.14091922005537E0
hsa-miR-132-3p	0.10389649195307354E0	0.32454265012145656E0	8.470286811804439E0	3.082410821383015E0	8.470286811804439E0	471.96697667653837E0	55.72030640668527E0
hsa-miR-141-3p	0.10549725530657379E0	0.32785300879889084E0	0.06268865909748196E0	-3.995651718736175E0	-15.95184861818439E0	424.65386976236545E0	6774.0142487437E0
hsa-miR-365b-3p	0.10801875718198595E0	0.33397636149124227E0	1.8935951634571213E0	0.921127926317539E0	1.8935951634571213E0	395.85134757169567E0	209.0475066520088E0
hsa-miR-32-5p	0.10983861823638304E0	0.33787920127537113E0	6.877406995080439E0	2.7818647247423605E0	6.877406995080439E0	383.2112251741472E0	55.72030640668527E0
hsa-miR-191-3p	0.11094541450066375E0	0.339560208017183E0	6.814715239723928E0	2.7686533737111394E0	6.814715239723928E0	759.3678955571488E0	111.43061281337032E0
hsa-let-7d-3p	0.11517812206299187E0	0.3425296946420814E0	6.524130452855884E0	2.705785629659643E0	6.524130452855884E0	363.5265479854531E0	55.72030640668521E0
hsa-miR-4521	0.1160588786734414E0	0.3425296946420814E0	0.14904005711590282E0	-2.7462279626180006E0	-6.709605587592722E0	62.311414242103304E0	418.0850133040175E0
hsa-miR-1226-3p	0.1172294520739845E0	0.3425296946420814E0	0.14904005711590285E0	-2.746227962618E0	-6.709605587592721E0	62.311414242103304E0	418.0850133040174E0
hsa-miR-1304-3p	0.11786313887086422E0	0.3425296946420814E0	6.212996265555632E0	2.635289187119435E0	6.212996265555632E0	346.1900557271409E0	55.72030640668527E0
hsa-miR-1226-5p	0.11867234819852222E0	0.3425296946420814E0	0.3781807898639743E0	-1.402852013122319E0	-2.644237959203809E0	158.11172053564007E0	418.0850133040175E0
hsa-miR-432-5p	0.11899997446202111E0	0.3425296946420814E0	6.209663064873567E0	2.6345149902133143E0	6.209663064873567E0	1383.831025162924E0	222.85122562674064E0
hsa-miR-9901	0.12509786580594784E0	0.3425296946420814E0	0.06901148041253258E0	-3.8570198082244405E0	-14.490342679540586E0	109.62452115627622E0	1588.496878352164E0
hsa-miR-584-5p	0.12688554777314642E0	0.3425296946420814E0	4.825894748729696E0	2.2707964511646144E0	4.825894748729696E0	268.9003341571072E0	55.72030640668521E0
hsa-miR-576-5p	0.12927973856184227E0	0.3425296946420814E0	4.577974093807775E0	2.1947092988829398E0	4.577974093807775E0	255.0861192943678E0	55.72030640668521E0
hsa-miR-378a-3p	0.1295063039606978E0	0.3425296946420814E0	1.5652652184702935E0	0.646407128054802E0	1.5652652184702935E0	1264.8237642851207E0	808.0571581508138E0
hsa-miR-324-3p	0.1310771067743434E0	0.3425296946420814E0	4.821141283186707E0	2.269374708424518E0	4.821141283186707E0	1074.3972441632382E0	222.85122562674087E0
hsa-miR-205-5p	0.1323079266061843E0	0.3425296946420814E0	31.900241597226646E0	4.995495445203554E0	31.900241597226646E0	8886.180176756056E0	278.5615320334273E0
hsa-miR-1291	0.13535547389299457E0	0.3425296946420814E0	0.08921772152603398E0	-3.4865258852528505E0	-11.208535511727872E0	64.65959917248513E0	724.7394137946645E0
hsa-miR-28-3p	0.14067544315475408E0	0.3425296946420814E0	1.9700176174676378E0	0.9782085314682231E0	1.9700176174676378E0	2909.866265787919E0	1477.0762655387935E0
hsa-miR-374b-5p	0.1410090602774944E0	0.3425296946420814E0	4.309279215924797E0	2.1074465796224584E0	4.309279215924797E0	480.1856239328748E0	111.43061281337032E0
hsa-miR-532-3p	0.14108377522679813E0	0.3425296946420814E0	3.9135453201047166E0	1.9684761518425995E0	3.9135453201047166E0	600.0920825563178E0	153.33720024532352E0
hsa-miR-3180-3p	0.14286403111366378E0	0.3425296946420814E0	3.955705719165114E0	1.983935102211029E0	3.955705719165114E0	220.41313477774338E0	55.72030640668524E0
hsa-miR-301a-5p	0.14396562753508235E0	0.3425296946420814E0	4.019190175248544E0	2.0069048427355076E0	4.019190175248544E0	447.8608243466323E0	111.43061281337032E0
hsa-miR-149-5p	0.14718670448130752E0	0.3425296946420814E0	3.511152344851605E0	1.8119445944509924E0	3.511152344851605E0	1076.7454290936198E0	306.66440049064704E0
hsa-miR-146b-5p	0.15068449660673658E0	0.3425296946420814E0	3.1276590445003944E0	1.6450832487005929E0	3.1276590445003944E0	174.27412032876134E0	55.72030640668527E0
hsa-miR-24-3p	0.15215111537153722E0	0.3425296946420814E0	1.3542812216372593E0	0.43752735112428676E0	1.3542812216372593E0	2113.2123060642125E0	1560.3940098949433E0
hsa-miR-95-3p	0.15234467114786843E0	0.3425296946420814E0	0.26439567798589714E0	-1.919229501246283E0	-3.7822100861018613E0	95.81030629353678E0	362.3747068973323E0
hsa-miR-339-3p	0.15343536313081782E0	0.3425296946420814E0	3.2887764701232363E0	1.717550955146951E0	3.2887764701232363E0	504.29177626278096E0	153.33720024532352E0
hsa-miR-654-3p	0.15367899540165816E0	0.3425296946420814E0	3.4426704119544307E0	1.7835280694355116E0	3.4426704119544307E0	1150.7877679876324E0	334.2718384401114E0
hsa-miR-376a-3p	0.15842193219453748E0	0.3425296946420814E0	3.0523494941916742E0	1.6099201602949227E0	3.0523494941916742E0	1020.3144771774712E0	334.2718384401114E0
hsa-miR-15b-3p	0.15953605636529772E0	0.3425296946420814E0	2.8378066225757776E0	1.5047762827895168E0	2.8378066225757776E0	1305.3672111276996E0	459.99160073597113E0
hsa-miR-769-5p	0.16215273353151802E0	0.3425296946420814E0	2.6781242247486086E0	1.4212228816003067E0	2.6781242247486086E0	1044.4206295073773E0	389.9821448467969E0
hsa-miR-503-3p	0.1640587296415721E0	0.3425296946420814E0	3.9346345416997353E0	1.9762296409773434E0	3.9346345416997353E0	219.23904231255244E0	55.72030640668524E0
hsa-miR-500a-3p	0.16688136228324452E0	0.3425296946420814E0	2.709949210143513E0	1.4382658128482502E0	2.709949210143513E0	415.5360247603897E0	153.33720024532352E0
hsa-miR-33a-5p	0.1681073770804722E0	0.3425296946420814E0	2.4131639172394364E0	1.2709259157843225E0	2.4131639172394364E0	268.9003341571072E0	111.43061281337032E0
hsa-miR-454-5p	0.16873592078367783E0	0.3425296946420814E0	3.459864409301323E0	1.7907155003297517E0	3.459864409301323E0	192.78470505226448E0	55.72030640668524E0
hsa-miR-378a-5p	0.16940825532011233E0	0.3425296946420814E0	2.345970319170047E0	1.230184760741929E0	2.345970319170047E0	522.802360986284E0	222.85122562674087E0
hsa-miR-615-3p	0.17084332522668777E0	0.3425296946420814E0	1.971666549187414E0	0.9794155818827543E0	1.971666549187414E0	1016.7921997818984E0	515.701907142656E0
hsa-miR-409-3p	0.1757853564279329E0	0.3425296946420814E0	4.392129794745618E0	2.134920689012732E0	4.392129794745618E0	1468.1653015241034E0	334.2718384401114E0
hsa-miR-193a-5p	0.17652339981985127E0	0.3425296946420814E0	1.9983579845680206E0	0.9988150497463721E0	1.9983579845680206E0	835.4835246619914E0	418.0850133040175E0
hsa-miR-31-5p	0.17653796657876386E0	0.3425296946420814E0	0.07821640810704657E0	-3.676384904344813E0	-12.785041197895527E0	78.47381403522459E0	1003.2909458280908E0
hsa-miR-320b	0.17769039557652502E0	0.3425296946420814E0	2.3543197226666717E0	1.2353102553737854E0	2.3543197226666717E0	393.5031626413138E0	167.14091922005568E0
hsa-miR-767-5p	0.1784497585590229E0	0.3425296946420814E0	2.0948396207228512E0	1.066839796552478E0	2.0948396207228512E0	963.6086305417709E0	459.99160073597045E0
hsa-miR-543	0.1788629495284521E0	0.3425296946420814E0	3116.070707870474E0	11.605512255140201E0	3116.070707870474E0	31.160707121051647E0	0.010000000000005116E0
hsa-miR-382-3p	0.1788690692029403E0	0.3425296946420814E0	1.7946778579390932E-4	-12.44398747392032E0	-5572.030632552315E0	0.009999999999999787E0	55.72030640668524E0
hsa-miR-410-5p	0.17891937195921567E0	0.3425296946420814E0	9346.21212189379E0	13.190166065683696E0	9346.21212189379E0	93.46212136315494E0	0.009999999999990905E0
hsa-miR-1250-5p	0.17893057530002462E0	0.3425296946420814E0	6.521574673514806E-5	-13.904420120504687E0	-15333.719999575647E0	0.01E0	153.33720024532352E0
hsa-miR-370-5p	0.17893969208588725E0	0.3425296946420814E0	1617.239977293443E0	10.659318056462581E0	1617.239977293443E0	16.172399793121283E0	0.010000000000005116E0
hsa-miR-1185-2-3p	0.179034631578832E0	0.3425296946420814E0	3116.070707870474E0	11.605512255140201E0	3116.070707870474E0	31.160707121051647E0	0.010000000000005116E0
hsa-miR-487a-3p	0.1790374703041878E0	0.3425296946420814E0	1617.239977294592E0	10.659318056463606E0	1617.239977294592E0	16.172399793121283E0	0.00999999999999801E0
hsa-miR-376b-5p	0.17904000290745195E0	0.3425296946420814E0	1617.239977293443E0	10.659318056462581E0	1617.239977293443E0	16.17239979312128E0	0.010000000000005116E0
hsa-miR-337-3p	0.1790789174704789E0	0.3425296946420814E0	1.7946778579374991E-4	-12.4439874739216E0	-5572.030632557265E0	0.009999999999990905E0	55.72030640668523E0
hsa-miR-214-5p	0.17912162877082025E0	0.3425296946420814E0	1.7946778579391314E-4	-12.443987473920288E0	-5572.030632552197E0	0.01E0	55.72030640668524E0
hsa-miR-10a-3p	0.17913463872171986E0	0.3425296946420814E0	2.4013932509699103E0	1.263871677940599E0	2.4013932509699103E0	368.2229178462168E0	153.33720024532346E0
hsa-miR-873-5p	0.17924970207482818E0	0.3425296946420814E0	1617.239977294592E0	10.659318056463606E0	1617.239977294592E0	16.172399793121283E0	0.00999999999999801E0
hsa-miR-329-5p	0.1792778149567022E0	0.3425296946420814E0	3116.070707870474E0	11.605512255140201E0	3116.070707870474E0	31.160707121051647E0	0.010000000000005116E0
hsa-miR-431-3p	0.17929700916817792E0	0.3425296946420814E0	6465.95990767348E0	12.65864884669151E0	6465.95990767348E0	64.65959917248513E0	0.009999999999990905E0
hsa-miR-181b-3p	0.17935921329705826E0	0.3425296946420814E0	1.7946778579391314E-4	-12.443987473920288E0	-5572.030632552197E0	0.01E0	55.72030640668524E0
hsa-miR-758-3p	0.17936849168373326E0	0.3425296946420814E0	1617.2399772957413E0	10.659318056464631E0	1617.2399772957413E0	16.172399793121286E0	0.009999999999990905E0
hsa-miR-99a-3p	0.1794317484088508E0	0.3425296946420814E0	1.7946778579391344E-4	-12.443987473920286E0	-5572.030632552188E0	0.01E0	55.720306406685154E0
hsa-miR-34a-3p	0.17944847441778827E0	0.3425296946420814E0	3116.070707870474E0	11.605512255140201E0	3116.070707870474E0	31.160707121051647E0	0.010000000000005116E0
hsa-miR-6720-3p	0.17955376986056504E0	0.3425296946420814E0	6465.95990767348E0	12.65864884669151E0	6465.95990767348E0	64.65959917248513E0	0.009999999999990905E0
hsa-miR-1296-3p	0.1799284511637043E0	0.3425296946420814E0	6.521574673514806E-5	-13.904420120504687E0	-15333.719999575647E0	0.010000000000000009E0	153.33720024532352E0
hsa-miR-3173-5p	0.17996498727399882E0	0.3425296946420814E0	1617.239977294592E0	10.659318056463606E0	1617.239977294592E0	16.172399793121283E0	0.00999999999999801E0
hsa-miR-4662a-5p	0.18003457588011545E0	0.3425296946420814E0	3116.070707870474E0	11.605512255140201E0	3116.070707870474E0	31.160707121051647E0	0.010000000000005116E0
hsa-miR-500a-5p	0.1801581046679954E0	0.3425296946420814E0	3116.070707870474E0	11.605512255140201E0	3116.070707870474E0	31.160707121051647E0	0.010000000000005116E0
hsa-miR-195-3p	0.18019667859495148E0	0.3425296946420814E0	11314.679837328384E0	13.465908141915321E0	11314.679837328384E0	113.14679855184897E0	0.010000000000019327E0
hsa-miR-3605-3p	0.18020714902379115E0	0.3425296946420814E0	6231.1414150219525E0	12.605280743731711E0	6231.1414150219525E0	62.311414242103304E0	0.009999999999990905E0
hsa-miR-212-5p	0.1803037600993532E0	0.3425296946420814E0	3116.070707870474E0	11.605512255140201E0	3116.070707870474E0	31.160707121051647E0	0.010000000000005116E0
hsa-miR-659-5p	0.18033400584498252E0	0.3425296946420814E0	3116.070707870474E0	11.605512255140201E0	3116.070707870474E0	31.160707121051647E0	0.010000000000005116E0
hsa-miR-330-3p	0.18037800037861484E0	0.3425296946420814E0	6.521574673514666E-5	-13.904420120504719E0	-15333.719999575975E0	0.009999999999999787E0	153.3372002453235E0
hsa-miR-4787-3p	0.18039716294798724E0	0.3425296946420814E0	4849.719930983418E0	12.243685719415858E0	4849.719930983418E0	48.497199379363856E0	0.010000000000005116E0
hsa-miR-1287-5p	0.1804291669303882E0	0.3425296946420814E0	1.7946778579391344E-4	-12.443987473920286E0	-5572.030632552188E0	0.010000000000000009E0	55.72030640668523E0
hsa-miR-33b-5p	0.18045453798995684E0	0.3425296946420814E0	1617.239977293443E0	10.659318056462581E0	1617.239977293443E0	16.172399793121283E0	0.010000000000005116E0
hsa-miR-629-3p	0.18052600229631857E0	0.3425296946420814E0	3116.070707874902E0	11.605512255142251E0	3116.070707874902E0	31.160707121051647E0	0.009999999999990905E0
hsa-miR-181c-5p	0.18057370342393597E0	0.3425296946420814E0	3116.070707870474E0	11.605512255140201E0	3116.070707870474E0	31.160707121051647E0	0.010000000000005116E0
hsa-miR-3065-5p	0.18060151937678345E0	0.3425296946420814E0	6.521574673514666E-5	-13.904420120504719E0	-15333.719999575975E0	0.009999999999999787E0	153.33720024532352E0
hsa-miR-106a-5p	0.18062265475070122E0	0.3425296946420814E0	8082.19988426473E0	12.98053231651896E0	8082.19988426473E0	80.82199896560641E0	0.010000000000019327E0
hsa-miR-219b-5p	0.1806243290674187E0	0.3425296946420814E0	1617.239977294592E0	10.659318056463606E0	1617.239977294592E0	16.172399793121283E0	0.00999999999999801E0
hsa-miR-181d-5p	0.18063952963093452E0	0.3425296946420814E0	1617.239977293443E0	10.659318056462581E0	1617.239977293443E0	16.172399793121283E0	0.010000000000005116E0
hsa-miR-624-5p	0.18064549107475247E0	0.3425296946420814E0	6.521574673518143E-5	-13.90442012050395E0	-15333.719999567802E0	0.010000000000005116E0	153.33720024532352E0
hsa-miR-141-5p	0.1806569489689761E0	0.3425296946420814E0	3116.070707870474E0	11.605512255140201E0	3116.070707870474E0	31.160707121051647E0	0.010000000000005116E0
hsa-miR-641	0.18070677703326257E0	0.3425296946420814E0	1617.239977293443E0	10.659318056462581E0	1617.239977293443E0	16.172399793121283E0	0.010000000000005116E0
hsa-miR-548e-5p	0.18073664430835198E0	0.3425296946420814E0	9346.212121867227E0	13.190166065679596E0	9346.212121867227E0	93.46212136315494E0	0.010000000000019327E0
hsa-miR-656-3p	0.18079622653646452E0	0.3425296946420814E0	1617.239977293443E0	10.659318056462581E0	1617.239977293443E0	16.172399793121283E0	0.010000000000005116E0
hsa-miR-193a-3p	0.1808564188134651E0	0.3425296946420814E0	3116.070707870474E0	11.605512255140201E0	3116.070707870474E0	31.160707121051647E0	0.010000000000005116E0
hsa-miR-193b-3p	0.18088134520932042E0	0.3425296946420814E0	6231.1414150219525E0	12.605280743731711E0	6231.1414150219525E0	62.311414242103304E0	0.009999999999990905E0
hsa-miR-186-3p	0.1809004132752289E0	0.3425296946420814E0	3233.4799542144083E0	11.658871951165054E0	3233.4799542144083E0	32.334799586242575E0	0.009999999999990905E0
hsa-let-7g-3p	0.18093866973552422E0	0.3425296946420814E0	3116.070707870474E0	11.605512255140201E0	3116.070707870474E0	31.160707121051647E0	0.010000000000005116E0
hsa-miR-30b-3p	0.18096578614864986E0	0.3425296946420814E0	3116.070707874902E0	11.605512255142251E0	3116.070707874902E0	31.16070712105165E0	0.009999999999990905E0
hsa-miR-190a-5p	0.18103394446109272E0	0.3425296946420814E0	6465.959907655103E0	12.65864884668741E0	6465.959907655103E0	64.65959917248513E0	0.010000000000019327E0
hsa-miR-20a-3p	0.1810400121297014E0	0.3425296946420814E0	3233.4799542144083E0	11.658871951165054E0	3233.4799542144083E0	32.334799586242575E0	0.009999999999990905E0
hsa-miR-139-5p	0.18105318946449395E0	0.3425296946420814E0	3116.0707078660457E0	11.60551225513815E0	3116.0707078660457E0	31.16070712105165E0	0.010000000000019327E0
hsa-miR-15a-3p	0.18107965402217924E0	0.3425296946420814E0	3116.070707874902E0	11.605512255142251E0	3116.070707874902E0	31.160707121051647E0	0.009999999999990905E0
hsa-miR-3667-3p	0.18108312343074426E0	0.3425296946420814E0	3116.070707870474E0	11.605512255140201E0	3116.070707870474E0	31.160707121051647E0	0.010000000000005116E0
hsa-miR-218-5p	0.18109244403146035E0	0.3425296946420814E0	1.7946778579390932E-4	-12.44398747392032E0	-5572.030632552315E0	0.009999999999999787E0	55.72030640668527E0
hsa-miR-497-5p	0.1811196506018036E0	0.3425296946420814E0	3233.4799542052183E0	11.658871951160954E0	3233.4799542052183E0	32.33479958624257E0	0.010000000000019327E0
hsa-miR-3136-5p	0.18112994971265725E0	0.3425296946420814E0	3233.4799542098135E0	11.658871951163004E0	3233.4799542098135E0	32.334799586242575E0	0.010000000000005116E0
hsa-miR-1301-3p	0.18113137560920753E0	0.3425296946420814E0	3233.4799542144083E0	11.658871951165054E0	3233.4799542144083E0	32.334799586242575E0	0.009999999999990905E0
hsa-miR-548j-5p	0.1812019448497212E0	0.3425296946420814E0	6.521574673514666E-5	-13.904420120504719E0	-15333.719999575975E0	0.009999999999999787E0	153.33720024532352E0
hsa-miR-505-3p	0.18120504353406136E0	0.3425296946420814E0	1617.239977293443E0	10.659318056462581E0	1617.239977293443E0	16.172399793121283E0	0.010000000000005116E0
